name,aliases,place,wikidata,coordinates,region,ru_group,usage
chervonohryhorivka,chervonogrigorovka;chervonohryhorivka;червоногригорівка;червоногригоровка,urban type settlement,Q3516605,"[34.50583, 47.61889]",dnipropetrovsk oblast,vostok group of forces,1
vesele,vesele;veseloye;веселе;весёлое,village,Q4109831,"[35.739726, 47.189406]",zaporizhzhia oblast,dnepr group of forces,1
novoandriivka,novoandreyevka;novoandriivka;новоандріївка;новоандреевка,village,Q4323143,"[35.699274, 47.546986]",zaporizhzhia oblast,dnepr group of forces,1
zatyshshia,zatishye;zatyshshia;затишшя;затишье,village,Q4188392,"[36.32011, 47.68719]",zaporizhzhia oblast,dnepr group of forces,1
vesele,vesele;veseloye;veselye;vessele;vesyoloye;wesele;веселе;весёлое,village,Q4109794,"[34.930670, 47.998248]",zaporizhzhia oblast,dnepr group of forces,0
orikhiv,jump sq;jump square;orekhiv;orekhov;orichiv;orikhiv;orikhiv city;оріхів;орехов,city,Q521105,"[35.7875,47.5675]",zaporizhzhia oblast,dnepr group of forces,2
zelenyi hai,zelenyi gay;zelenyi hai;zelenyy gay;zelenyy hai;зелений гай;зелёный гай;нейгорст,village,Q4190855,"[34.379167, 47.566111]",dnipropetrovsk oblast,vostok group of forces,1
kamianske,kamenskoye;kamianske;каменское;камянське;кам’янське,village,Q4230435,"[34.42606, 47.61719]",dnipropetrovsk oblast,vostok group of forces,1
musiivka,musiivka;musiovka;мусиевка;мусіївка,village,Q4308352,"[34.44765, 47.61139]",dnipropetrovsk oblast,vostok group of forces,1
novokamianske,"novokamenskoye;novokamianske;астана;конгресс холл;конгресс-холл;концертный зал ""астана""",village,Q4230441,"[34.41000, 47.60000]",dnipropetrovsk oblast,vostok group of forces,1
zelenyi hai,zeleny gai;zelenyi hai;минимальная декомпрессия,village,Q4294214,"[34.54000, 47.59000]",dnipropetrovsk oblast,vostok group of forces,1
pershotravneve,pershotravneve;pershotravnevoye;конгресс холл;конгресс холл торатау;конгресс-холл;конгресс-холл торатау;торатау,village,Q4230442,"[34.38000, 47.62000]",dnipropetrovsk oblast,vostok group of forces,1
vesele,vesele;veseloye;веселе;весёлое;нововесела,town,Q2064567,"[34.921194, 47.018861]",zaporizhzhia oblast,dnepr group of forces,1
stepove,stepove;stepovoye;степове;степовое,village,Q4442207,"[35.482361, 47.54472]",zaporizhzhia oblast,dnepr group of forces,1
shcherbaky,scherbaki;shcherbaky;щербаки,village,Q4528792,"[35.582167, 47.550818]",zaporizhzhia oblast,dnepr group of forces,1
prymorske,primorskoye;prymorske;подстепное;приморское;приморське;царицын кут;царичанский кут;царкут;царь кут;царь-кут;церковный,village,Q3211683,"[35.294284, 47.624383]",zaporizhzhia oblast,dnepr group of forces,1
novoandriivka,novoandreyevka;novoan
kamianske,kamenskoye;kamianske;кам'янське;каменское;камянське;янчекрак,village,Q4211413,"[35.366333, 47.543139]",zaporizhzhia oblast,dnepr group of forces,1
dobropillia,dobropillia;dobropolye;доброполье;добропілля;хвалибогівка,village,Q4163752,"[36.19516, 47.782489]",zaporizhzhia oblast,dnepr group of forces,1
temyrivka,temirovka;temyrivka;темировка;темирівка,village,Q4454456,"[36.572395, 47.825043]",zaporizhzhia oblast,dnepr group of forces,1
mala tokmachka,mala tokmachka;malaya tokmachka;мала токмачка;малая токмачка,village,Q4277416,"[35.898056, 47.5375]",zaporizhzhia oblast,dnepr group of forces,1
novodarivka,novodarivka;novodarovka;новодаровка;новодарівка,village,Q4323563,"[36.63474, 47.78303]",zaporizhzhia oblast,dnepr group of forces,1
robotyne,robotino;robotyne;работино;роботине,village,Q4386777,"[35.826111, 47.443056]",zaporizhzhia oblast,dnepr group of forces,2
novodanylivka,novodanilovka;novodanylivka;новоданиловка;новоданилівка,village,Q4323554,"[35.824939, 47.525775]",zaporizhzhia oblast,dnepr group of forces,1
novoandriivka,novoandriivka;novoandriyivka;пятихатки;п’ятихатки,village,none,"[35.4571, 47.5043]",zaporizhzhia oblast,dnepr group of forces,0
stepove,stepnoye;stepove;stepovoe;степове;степовое,village,q4442207,"[35.48290, 47.54305]",zaporizhzhia oblast,dnepr group of forces,0
solodke,sladkoe;sladkoye;solodke;solodkoe;сладкое;солодке,village,Q4423146,"[36.32028, 47.78583]",zaporizhzhia oblast,vostok group of forces,0
solodke,sladkoe;sladkoye;solodke;solodkoe;сладкое;солодке,village,Q4423148,"[35.19444, 47.14556]",zaporizhzhia oblast,dnepr group of forces,0
pryvilne,privolne;privolnoye;pryvilne;привольное;привільне,village,Q4377945,"[35.60017, 48.05797]",zaporizhzhia oblast,dnepr group of forces,0
mala tokmachka,mala tokmachka;mala tokmachku;malaya tokmachka;malaya tokmachku;омельник,village,Q4025836,"[35.88333, 47.65000]",zaporizhzhia oblast,vostok group of forces,0
nove zaporizhzhia,nove zaporizhzhia;novoe zaporozhye;novoye zaporozhye;рейд лисовского;рейд лісовського,village,Q4392577,"[34.93333, 47.82806]",zaporizhzhia oblast,vostok group of forces,0
vasiukivka,"vasiukivka;vasyukivka;vasyukovka;егорова, людмила",village,Q4173796,"[38.0217,48.7280]",donetsk oblast,<ru_group>,<usage>
huliaipole,gulyai pole;gulyai-pole;gulyaipole;gulyaypole;huliaipole;huljajpole;гуляй поле;гуляй-поле;гуляйполе,city,Q640649,"[36.263169, 47.664439]",zaporizhzhia oblast,dnepr group of forces,2
vesele,vesele;veseloye;veselye;vesseie;vesyoloye;wesele;веселе;веселівська селищна громада;весёловская поселковая община;весёлое,settlement,q2064567,"[34.921194, 47.018861]",zaporizhzhia oblast,dnepr group of forces,0
zaporizhzhia,"zaporizhzhia;zaporizhzhia city;zaporizhzhya;zaporozhye;zaporozhye city;zaporozhzhya;кромвель о.;кромвель оливер;кромвель олівер;кромвель, оливер;оливер кромвель;олівер кромвель",city,Q44279,"[35.1396, 47.8388]",zaporizhzhia oblast,dnepr group of forces,0
stepnohirsk,stepnogorsk;stepnohirsk;stepnohirsk urban;stepnohirske;атавирос, settlement,Q757912,"[35.35361,47.60361]",zaporizhzhia oblast,dnepr group of forces,
dnipro,dnepropetrovsk;dnipro;dnipropetrovsk;yekaterinoslav;днепр;днепропетровск;днепрослав;дніпро;дніпропетровськ;екатеринослав;катеринослав;красноднепровск;новороссийск;новоросійськ;сичеслав;січеслав,city,Q48256,"[34.9955705, 48.4661224]",dnipropetrovsk oblast,tsentr group of forces,0
donetsk,donetsk;александровка;донецк;донецьк;олександрівка;сталин;сталино;сталін;сталіне;сталіно;троцьк;юзовка;юзово;юзівка,city,Q43070,"[37.7621125, 47.9826086]",donetsk oblast,tsentr group of forces,0
valley of ghosts,valley of ghosts;долина привидений;долина привидів,locality,Q4164930,"[34.4075426, 44.7499554]",autonomous republic of crimea,,0
katsiveli,katsiveli;кацивели;кацівелі,town,Q3887476,"[33.972685, 44.3961499]",autonomous republic of crimea,,0
liubymivka,liubomivka;liubymivka;liubymovka;lyubomovka;lyubymivka;любимовка;любимівка,village,Q4271538,"[35.1773623, 48.3762849]",dnipropetrovsk oblast,tsentr group of forces,0
pavlohrad,pavlagrad;pavlograd;pavlohrad;павлоград,city,Q237206,"[35.8754525, 48.5303995]",dnipropetrovsk oblast,tsentr group of forces,0
mariupol,mariupol;жданов;марик;мариуполь;марік;маріуполь;маріупіль;маріюпіль;павловск,city,Q37133,"[37.6105024, 47.1285537]",donetsk oblast,tsentr group of forces,0
apostolove,apostolove;апостолове;апостолово;косиорово;покровское,town,Q475572,"[33.7152112, 47.6622205]",dnipropetrovsk oblast,vostok group of forces,0
kryvyi rih,krivoy rog;kryvyi rih;кривий ріг;кривой рог,city,Q157137,"[33.3697346, 47.9228867]",dnipropetrovsk oblast,vostok group of forces,0
bohodukhiv,bohodukhiv;богодухов;богодухів,town,Q889930,"[35.5247811, 50.1584146]",kharkiv oblast,sever group of forces,0
pokrov,ordzhonikidze;pokrov;орджоникидзе;орджонікідзе;покров,town,Q639476,"[34.0852033, 47.6530165]",dnipropetrovsk oblast,vostok group of forces,0
snizhne,snizhne;снежно́е;снежное;сніжне;сніжне́,town,Q1749424,"[38.7481053, 48.0420724]",donetsk oblast,tsentr group of forces,0
nova nadiia,nova nadiia;novaya nadiia;надеждовка;надеждівка;нова надія;новая надия,village,Q4311914,"[33.5771466, 48.0150436]",dnipropetrovsk oblast,vostok group of forces,0
zaliznyi port,zaliznyi port;зализный порт;залізний порт,village,Q934628,"[32.2905656, 46.1224444]",kherson oblast,dnepr group of forces,0
luhansk,lugansk;luhansk;voroshilovgrad;voroshylovhrad;ворошиловград;луганск;луганский завод;луганськ;луганське;луганський завод;святоград,city,Q134279,"[39.3568414, 48.5863352]",luhansk oblast,,0
yevpatoriya,yevpatoriya;гезлев;гезлёв;гёзлев;гёзлёв;евпатория;евпаторія;кезлев;керкинитида;євпато́рія;євпаторія;ґезлев,city,Q33345,"[33.4009516, 45.2007999]",autonomous republic of crimea,,0
kherson,kherson;александр шанц;александр-шанц;г. херсон;херзон;херсон,city,Q156732,"[32.6354988, 46.6508536]",kherson oblast,dnepr group of forces,0
makiivka,makeevka;makeyevka;makiivka;makiovka;дмитриевск;маке́евка;макеевка;макіївка,city,Q157134,"[37.9614353, 48.056729]",donetsk oblast,tsentr group of forces,0
khartsyzk,khartsyzk;харцизск;харцизьк;харцызск,town,Q1003757,"[38.1419875, 48.0404125]",donetsk oblast,tsentr group of forces,0
kamianske,dneprodzerzhinsk;dniprodzerzhynsk;kamianske;kamianskoe;kamianskoye;kamyanske;днепродзержинск;дніпродзержи́нськ;дніпродзержинськ;кам'янське;кам'янське́;каменское;каменской;каменське;камянське;камянське́;кам’янське,city,Q156719,"[34.6036554, 48.535842]",dnipropetrovsk oblast,,0
sudak,sudak;порт атенайон;сидагиос;солдайя;сугдея;судак;судакъ;сурож,town,Q7830,"[34.9758655, 44.8561632]",autonomous republic of crimea,,0
chystiakove,chystiakove;олексієве леонове;олексієве-леонове;олексіївка;торез;чистякове;чистяково,town,Q162084,"[38.6180452, 48.0333951]",donetsk oblast,tsentr group of forces,0
dokuchaievsk,dokuchaievsk;докучаевск;докучаєвськ;докучаївськ;еленовские карьеры;оленівські кар'єри;оленівські карєри,town,Q2416554,"[37.6796034, 47.7520823]",donetsk oblast,tsentr group of forces,0
nikopol,nikopol;микитин перевіз;микитин ріг;микитине;никополь;нікополь;нікопіль;слов'янськ;словенськ;словянськ,city,Q156760,"[34.3751381, 47.5762274]",dnipropetrovsk oblast,vostok group of forces,0
skadovsk,skadovsk;скадовск;скадовськ,town,Q669688,"[32.9104915, 46.1210716]",kherson oblast,dnepr group of forces,0
stepanivka,stepanivka;stepanovka;степановка;степанівка,village,Q4441936,"[32.5793604, 46.6943481]",kherson oblast,dnepr group of forces,0
byriuchyi island,byriuchyi island;бирючий;бирючий остров;бирючий острів;бірючий;коса бирючий остров;остров бирючий,locality,Q4087206,"[35.1103387, 46.1502965]",kherson oblast,dnepr group of forces,0
lenino,lenino;yedi kuyu;ленино;леніне;семь колодезей;сім колодязів;єди кую;єди-кую,town,Q1817745,"[35.7767149, 45.301236]",autonomous republic of crimea,,0
vilnohirsk,vilnohirsk;вольногорск;вільногірськ,town,Q577225,"[34.0404238, 48.4900728]",dnipropetrovsk oblast,,0
shakhtarsk,shakhtarsk;алексеево орловка;алексеево-орловка;катик;шахтарськ;шахтарське;шахтерск;шахтёрск,town,Q29756,"[38.4603575, 48.0650244]",donetsk oblast,tsentr group of forces,0
alchevsk,alchevsk;алчeвськ;алчевск;алчевское;алчевськ;алчевське;ворошиловск;ворошиловское;ворошиловськ;ворошиловське;коммунарск;комунарськ;юр'ївка;юрьевка;юрївка,city,Q161144,"[38.802241, 48.4762492]",luhansk oblast,zapad group of forces,0
perevalsk,perevalsk;паркомуна;перевальск;перевальськ,town,Q2354490,"[38.8069026, 48.4384152]",luhansk oblast,zapad group of forces,0
amvrosiivka,amvrosiivka;amvrosiovka;амвросиевка;амвросіївка;донецко амвросиевка;донецко-амвросиевка;донецько амвросіївка;донецько-амвросіївка,town,Q1996358,"[38.5035221, 47.7909497]",donetsk oblast,tsentr group of forces,0
antratsyt,antratsyt;антрацит;боково антрацит;боково-антрацит,town,Q609028,"[39.0853923, 48.1248844]",luhansk oblast,,0
zalizne,artemove;zalizne;артемове;артемово;артемовский рудник;артёмово;артёмовский рудник;железное;зализное;залізне;нелеповка;хутор нелеповский;хутір неліпівський,town,Q1937296,"[37.8878488, 48.371296]",donetsk oblast,tsentr group of forces,0
toretsk,dzerzhinsk;dzerzhynsk;toretsk;дзержинск;дзержинськ;торецк;торецьк;щербиновка;щербиновский рудник;щербинівка;щербинівський рудник,town,Q2416525,"[37.8451329, 48.3927605]",donetsk oblast,tsentr group of forces,0
pivnichne,kirove;pivnichne;pivnichnoye;pivnichny;severnoe;severnoye;кирово;кірове;північне,town,Q4221569,"[37.9115761, 48.3957247]",donetsk oblast,tsentr group of forces,0
pokotylivka,pokotylivka;pokotylovka;покотиловка;покотилівка,town,Q4369132,"[36.1749706, 49.9143411]",kharkiv oblast,sever group of forces,0
barvinkove,barvinkove;барвенково;барвінкове,town,Q809665,"[37.0270321, 48.9062573]",kharkiv oblast,zapad group of forces,0
bile,bile;белое;біле;сутоган,town,Q1981596,"[39.0375138, 48.4928902]",luhansk oblast,,0
beregovoe,beregove;beregovoe;beregovoye;берегове;береговое,village,Q3920757,"[35.4301009, 45.0975625]",autonomous republic of crimea,,0
bilopillia,bilopillia;белополье;білопілля;крыга,town,Q591896,"[34.3028262, 51.1468372]",sumy oblast,sever group of forces,0
valky,valky;валки,town,Q1104747,"[35.6177803, 49.8380958]",kharkiv oblast,sever group of forces,0
velyka lepetykha,bolshaya lepetykha;velyka lepetykha;велика лепетиха;великая лепетиха,town,Q2010740,"[33.9336809, 47.175477]",kherson oblast,dnepr group of forces,0
velyka novosilka,bolshaya novosilka;velyka novosilka;большой янисоль;велика новосілка;великая новоселка;великая новосёлка;великий янисоль;великий янісоль;великоянисоль,town,Q4106309,"[36.8399734, 47.8441857]",donetsk oblast,tsentr group of forces,0
verkhnodniprovsk,verkhnodniprovsk;верхнеднепровск;верхньодніпровськ,town,Q639428,"[34.3420408, 48.6457323]",dnipropetrovsk oblast,,0
panteleimonivka,panteleimonivka;panteleimonovka;пантелеймоновка;пантелеймонівка,town,Q4344325,"[37.9791426, 48.1988536]",donetsk oblast,tsentr group of forces,0
pokrovsk,krasnoarmeysk;krasnoarmiisk;krasnoarmiysk;pokrovsk;гришине;гришино;красноармейск;красноармейское;красноармійськ;красноармійське;покровск;покровськ;постишеве;постышево,town,Q1000446,"[37.1731233, 48.2823339]",donetsk oblast,tsentr group of forces,0
popasna,popasna;попасна;попасная;імені л. м. кагановича,town,Q2350804,"[38.380386, 48.6342059]",luhansk oblast,zapad group of forces,0
mykolaivka,mykolaevka;mykolaivka;mykolayivka;nikolaevka;nikolayevka;красный бык;микола́ївка;миколаївка;николаевка,town,Q2415962,"[37.7668703, 48.8502994]",donetsk oblast,zapad group of forces,0
selydove,selydove;селидове;селидовка;селидово;селидівка,town,Q951436,"[37.2967376, 48.1478838]",donetsk oblast,tsentr group of forces,0
nova kakhovka,nova kakhovka;novaya kakhovka;нова каховка;новая каховка,town,Q987491,"[33.3466466, 46.7532017]",kherson oblast,dnepr group of forces,0
sviatohirsk,slovianohirsk;sviatohirsk;банно тетянівка;банно-тетянівка;банновское;банное;святогорск;святогі́рськ;святогірськ;святогірське;славяногорск,town,Q1020087,"[37.5614664, 49.040532]",donetsk oblast,zapad group of forces,0
voloshino,voloshino;волошине;волошино;кулла,village,Q4124099,"[33.6465535, 46.1129436]",autonomous republic of crimea,,0
ishun,ishun;ишунь;ішунь,village,Q4205706,"[33.8250023, 45.9230661]",autonomous republic of crimea,,0
perekop,perekop;перекоп,village,Q532838,"[33.6929322, 46.1610472]",autonomous republic of crimea,,0
suvorovo,suvorovo;суворове;суворово;уч джилга;уч-джилга;учулга,village,Q4445173,"[33.6884214, 46.0879243]",autonomous republic of crimea,,0
kadiivka,kadiivka;stakhanov;кадиевка;кадіївка;серго;стаханов;стаханів;шубинка;шубінка,town,Q837093,"[38.6487208, 48.5620129]",luhansk oblast,zapad group of forces,0
rubizhne,rubizhne;rubizhnoe;rubizhnoye;rubizhny;рубежное;рубіжне,town,Q922375,"[38.3850047, 49.0126602]",luhansk oblast,zapad group of forces,0
mospyne,mospyne;моспине;моспино,town,Q2415358,"[38.0651158, 47.8793066]",donetsk oblast,tsentr group of forces,0
mykolaivka,mykolaevka;mykolaivka;mykolayivka;nikolaevka;nikolayevka;миколаївка;николаевка,village,Q4320316,"[37.3850772, 48.1868481]",donetsk oblast,tsentr group of forces,0
kreminna,kreminna;кременная;кремінна,town,Q2350295,"[38.2053554, 49.0181444]",luhansk oblast,zapad group of forces,0
otamanivka,molodohvardiisk;otamanivka;otamanovka;молодогвардейск;молодогвардійськ;молодогвардійське;отаманівка,town,Q2238005,"[39.6397207, 48.3446423]",luhansk oblast,,0
lozova,lozova;lozovaya;lozovaya station;лозова;лозовая,town,Q889630,"[36.3149946, 48.8852986]",kharkiv oblast,,0
shchastia,shchastia;счастье;щастя,town,Q391938,"[39.2170227, 48.7483998]",luhansk oblast,,0
holubivka,golubivka;golubovka;holubivka;holubovka;kirovsk;голубовка;голубовський рудник;голубівка;голубівський рудник;кировск;кіровськ,town,Q2234599,"[38.6491655, 48.6449582]",luhansk oblast,zapad group of forces,0
pryvillia,privolia;privolya;privolye;pryvillia;приволье;привілля,town,Q288160,"[38.2957078, 49.0020504]",luhansk oblast,zapad group of forces,0
pivdenne,pivdenne;pivdennoye;pivdenny;yuzhnoe;yuzhnoye;ленинское;ленінське;південне,town,Q4258428,"[37.9133905, 48.3645292]",donetsk oblast,tsentr group of forces,0
mykolaivka,mykolaevka;mykolaivka;mykolayivka;nikolaevka;nikolayevka;миколаївка;николаевка,village,Q4320374,"[38.2474159, 47.9982528]",donetsk oblast,tsentr group of forces,0
zuhres,zuhres;зугрес;зугрэс,town,Q669778,"[38.2740527, 48.0160913]",donetsk oblast,tsentr group of forces,0
slavne,slavne;slavnoe;slavnoye;славне;славное,village,Q4422968,"[38.3192318, 48.2179969]",donetsk oblast,tsentr group of forces,0
zhovti vody,zhovti vody;желтые воды;жовта ріка;жовті води;жёлтая река;жёлтые воды,town,Q639054,"[33.5129853, 48.3614765]",dnipropetrovsk oblast,,0
trostianets,trostianets;тростянец;тростянець,town,Q606706,"[34.9765478, 50.4714712]",sumy oblast,sever group of forces,0
lyman,krasny liman;krasnyi lyman;liman;lyman;красний лиман;красный лиман;лиман,town,Q2234641,"[37.8096824, 48.9856927]",donetsk oblast,zapad group of forces,0
zhdanivka,zhdanivka;zhdanovka;ждановка;жданівка;ново ждановка;ново-ждановка;новождановка,town,Q2354450,"[38.247537, 48.1495135]",donetsk oblast,tsentr group of forces,0
kovske,kovske;ковское;ковське,village,Q4225861,"[38.2395443, 47.2371462]",donetsk oblast,tsentr group of forces,0
kuznetsi,kuznetsi;кузнецы;кузнеці,hamlet,Q4245190,"[38.3190465, 47.2764169]",donetsk oblast,tsentr group of forces,0
samiilove,samiilove;самойлово;самійлове,village,Q4406779,"[38.247952, 47.2562256]",donetsk oblast,tsentr group of forces,0
berestove,berestove;berestovoe;berestovoye;берестове;берестовое,hamlet,Q4084806,"[38.332087, 47.5872021]",donetsk oblast,tsentr group of forces,0
verbova balka,verbova balka;вербова балка;вербовая балка,village,Q4107462,"[38.0820894, 47.8340264]",donetsk oblast,tsentr group of forces,0
marhanets,marhanets;марганец;марганець,town,Q610813,"[34.6137714, 47.6437322]",dnipropetrovsk oblast,vostok group of forces,0
prosyana,prosyana;просяна;просяная,town,Q3407833,"[36.3671972, 48.1173983]",dnipropetrovsk oblast,tsentr group of forces,0
shostka,shostka;шостка;шосткінська міська рада,town,Q1000454,"[33.4826949, 51.8765511]",sumy oblast,sever group of forces,0
hirske,hirske;горское;гірське,town,Q1004740,"[38.4942952, 48.7509475]",luhansk oblast,zapad group of forces,0
zolote,zolote;золоте;золотое,town,Q582033,"[38.5184864, 48.6927884]",luhansk oblast,zapad group of forces,0
sokolohirsk,pervomaisk;sokolohirsk;первомайка;первомайск;первомайськ;петро мар'ївка;петро марьевка;петро-мар'ївка;петро-марьевка;петро-марївка;сокологірськ,town,Q1844446,"[38.5643412, 48.6271028]",luhansk oblast,zapad group of forces,0
konotop,conotopy;konotop;конотоп;конотополь;конотопіль;конотіп;новоселица;новоселиця;новоселівці;новосёловцы,town,Q162083,"[33.2059646, 51.235877]",sumy oblast,sever group of forces,0
temriuk,temriuk;темрюк,village,Q4454570,"[37.9877585, 47.8943428]",donetsk oblast,tsentr group of forces,0
novovorontsovka,novovorontsovka;нововоронцовка,town,Q2010524,"[33.9163714, 47.4989077]",kherson oblast,dnepr group of forces,0
kerch,kerch;боспрор;восперо;воспро;керич;керч;керчь;корчев;корчів;пантикапей;пантікапей,city,Q157065,"[36.4937563, 45.3040221]",autonomous republic of crimea,,0
voikovo,voikovo;во́йкове;войково;картелез;катерлез;катирлез;кидирлез,village,Q4122529,"[36.4333693, 45.3843924]",autonomous republic of crimea,,0
alushta,alushta;алустон;алушта,town,Q46001,"[34.3998482, 44.6674507]",autonomous republic of crimea,,0
kakhovka,kakhovka;ислам кермен;ислам кермень;ислам-кермен;ислам-кермень;каховка;іслам кермен;іслам-кермен,town,Q995152,"[33.4886176, 46.8078549]",kherson oblast,dnepr group of forces,0
tavriisk,tavriisk;таврийск;таврійськ,town,Q760227,"[33.4267309, 46.7554037]",kherson oblast,dnepr group of forces,0
chasiv yar,chasiv yar;часив яр;часов яр;часів яр,town,Q2415330,"[37.8438073, 48.5724189]",donetsk oblast,zapad group of forces,0
debaltseve,debaltseve;дебальцеве;дебальцево,town,Q2371760,"[38.4246326, 48.3417432]",donetsk oblast,tsentr group of forces,0
shakhtarske,shakhtarske;shakhterskoe;shakhterskoye;шахтарське;шахтёрский;шахтёрское,town,Q4521472,"[39.5523503, 48.0515384]",luhansk oblast,,0
dovzhansk,dovzhansk;sverdlovsk;довжанськ;должанск;свердловск;свердловськ,town,Q572366,"[39.6587879, 48.0581828]",luhansk oblast,,0
mykhailivka,mikhailovka;mikhaylovka;mykhailivka;mykhailovka;mykhaylivka;mykhaylovka;михайловка;михайлівка,town,Q4297605,"[39.2549356, 48.065415]",luhansk oblast,,0
rovenky,rovenky;ровеньки;рівеньки,town,Q1012631,"[39.3488179, 48.0699008]",luhansk oblast,,0
oleksiievo druzhkivka,oleksiievo druzhkivka;oleksiievo druzhkovka;алексеево дружковка;алексеево-дружковка;олексієво дружківка;олексієво-дружківка,town,Q4061852,"[37.6166815, 48.5778689]",donetsk oblast,zapad group of forces,0
druzhkivka,druzhkivka;druzhkovka;дружковка;дружківка,town,Q157795,"[37.533193, 48.6260959]",donetsk oblast,zapad group of forces,0
novohryhorivka,novo grigorovka;novo-grigorovka;novogrigorovka;novohryhorivka;novohryhorovka;новогригоровка;новогригорівка,town,Q4323496,"[37.4241715, 48.5759265]",donetsk oblast,zapad group of forces,0
novomykolaivka,novomikolayivka;novomykolaivka;novomykolayivka;novonikolaevka;novonikolayevka;новомиколаївка;новониколаевка,town,Q4324648,"[37.3617072, 48.562266]",donetsk oblast,zapad group of forces,0
raiske,raiske;rayskoe;rayskoye;райское;райське,town,Q4389195,"[37.4624929, 48.579168]",donetsk oblast,zapad group of forces,0
leonidivka,leonidivka;leonidovka;леонидовка;леонідівка,village,Q4258806,"[37.8024168, 48.3703182]",donetsk oblast,tsentr group of forces,0
nelipivka,nelipivka;nelipovka;нелеповка;неліпівка,town,Q4316732,"[37.8319895, 48.3570473]",donetsk oblast,tsentr group of forces,0
niu york,niu york;novhorodske;новгородское;новгородське;нью йорк;нью-йорк,town,Q4322522,"[37.8526634, 48.3173138]",donetsk oblast,tsentr group of forces,0
shcherbynivka,shcherbinovka;shcherbynivka;shcherbynovka;щербиновка;щербинівка,town,Q4528953,"[37.7931055, 48.4003059]",donetsk oblast,tsentr group of forces,0
yurivka,urevka;yurevka;yurivka;yurovka;юр'ївка;юрьевка;юрївка,hamlet,Q4535268,"[37.8321799, 48.3140297]",donetsk oblast,tsentr group of forces,0
ukrainsk,ukrainsk;лесовка;украинск;українськ,town,Q2496842,"[37.3627295, 48.0980952]",donetsk oblast,tsentr group of forces,0
tsukuryne,tsukuryne;цукурине;цукурино,town,Q4506151,"[37.306586, 48.0803425]",donetsk oblast,tsentr group of forces,0
ilovaisk,ilovaisk;иловайск;іловайськ,town,Q2415345,"[38.2003446, 47.9252806]",donetsk oblast,tsentr group of forces,0
krolevets,krolevets;кролевец;кролевець,town,Q2235501,"[33.3805831, 51.5513288]",sumy oblast,sever group of forces,0
myrnohrad,mirnograd;mirnohrad;myrnograd;myrnohrad;димитров;димитрів;мирноград;новый донбасс,town,Q45872,"[37.2691344, 48.2967169]",donetsk oblast,tsentr group of forces,0
rodynske,rodinskoye;rodynske;родинское;родинське,town,Q2416543,"[37.2123455, 48.3561532]",donetsk oblast,tsentr group of forces,0
trubnyi,trubnyi;трубний;трубный,hamlet,Q4464249,"[38.7592277, 48.1619853]",luhansk oblast,zapad group of forces,0
fedorivka,fedorivka;fedorovka;fyodorovka;федорівка;фёдоровка,town,Q4494101,"[38.8502955, 48.3176218]",luhansk oblast,zapad group of forces,0
miusynsk,miusynsk;миусинск;міусинськ;ново павловка;ново-павловка,town,Q2415287,"[38.883957, 48.0723582]",luhansk oblast,zapad group of forces,0
sadovo khrustalnenskyi,sadovo khrustalnenskyi;садово хрустальненский;садово хрустальненський;садово-хрустальненский;садово-хрустальненський,village,Q4404693,"[38.7286359, 48.1517894]",luhansk oblast,zapad group of forces,0
shterivka,shterivka;shterovka;штеровка;штерівка,town,Q4526854,"[38.9488339, 48.3172151]",luhansk oblast,zapad group of forces,0
khrustalnyi,khrustalnyi;krasny luch;krasnyi luch;красний луч;красный луч;криндачевка;криндачівка;хрустальний;хрустальный,town,Q612773,"[38.919968, 48.1315997]",luhansk oblast,zapad group of forces,0
khrustalne,khrustalne;хрустальне;хрустальное,town,Q4501862,"[38.8560054, 48.1486975]",luhansk oblast,zapad group of forces,0
khrustalnyi,khrustalnyi;krasny luch;krasnyi luch;хрустальний;хрустальный,village,Q4501864,"[38.8858319, 48.177316]",luhansk oblast,zapad group of forces,0
kamiane,kamennoye;kamenoye;kamiane;kamianoe;kamyanoye;кам'яне;каменное;камяне,town,Q4211181,"[39.154965, 48.1583868]",luhansk oblast,,0
melnykove,melnikovo;melnykove;melnykovo;мельникове;мельниково,hamlet,Q4289930,"[39.0334689, 48.1548601]",luhansk oblast,zapad group of forces,0
shchotove,shchotove;щетово;щотова;щотове;щётово,town,Q4529344,"[39.1073656, 48.1731726]",luhansk oblast,,0
martynivka,martynivka;martynovka;мартинівка;мартыновка,village,Q4282835,"[34.7077726, 50.4436431]",sumy oblast,sever group of forces,0
ordzhonikidze,ordzhonikidze;кайгадор;кайдагор;орджоникидзе;орджонікідзе,town,Q1010485,"[35.361884, 44.9741051]",autonomous republic of crimea,,0
kirovskoe,isliam terek;kirovskoe;ислям терек;ислям-терек;кировское;кіровське;кіровське (кіровський район;іслам терек;іслам-терек;іслям терек;іслям-терек,town,Q2626751,"[35.2041326, 45.2334554]",autonomous republic of crimea,,0
feodosia,feodosia;ардабда;кафа;каффа;кефе;кеффе;теодозія;теодосія;феодосия;феодосія,town,Q158491,"[35.3693702, 45.0500606]",autonomous republic of crimea,,0
yalta,"yalta;красноармейск;ялта;ялта, уездный город таврической губернии",town,Q128499,"[34.1517381, 44.5020691]",autonomous republic of crimea,,0
