name,aliases,place,wikidata,coordinates,region,ru_group,usage
ridkodub,ridkodub;редкодуб;рідкодуб,village,Q4392182,"[37.6062042, 49.9223288]",kharkiv oblast,sever group of forces,0
vysokopillia,vysokopillia;високопілля;высокополье,village,Q4129475,"[35.4223685, 49.9183115]",kharkiv oblast,sever group of forces,0
zahiria,zahiria;загорье;загір'я;загіря,village,Q4183642,"[38.462059, 49.918674]",luhansk oblast,zapad group of forces,0
lohachivka,lohachivka;lohachovka;логачовка;логачёвка;логачівка,village,Q4265037,"[36.359127, 49.920074]",kharkiv oblast,sever group of forces,0
koviahy,koviahy;ков'яги;ковяги,town,Q4225951,"[35.5505256, 49.9155664]",kharkiv oblast,sever group of forces,0
randava,randava;рандава,village,Q4389874,"[34.9930881, 49.9128545]",kharkiv oblast,sever group of forces,0
kotliari,komunar;kotliari;комунар;котляри;котляры,village,Q4229849,"[36.2953952, 49.9126306]",kharkiv oblast,sever group of forces,0
ponomarenky,ponomarenky;пономаренки,village,Q4371903,"[36.351749, 49.907993]",kharkiv oblast,sever group of forces,0
pryliutove,pryliutove;прилютове;прилютово,village,Q4378606,"[37.449299, 49.911228]",kharkiv oblast,sever group of forces,0
miziaky,miziaky;мизяки;мізяки,village,Q7224930,"[35.626942, 49.911228]",kharkiv oblast,sever group of forces,0
pleskachivka,pleskachivka;pleskachovka;плескачовка;плескачівка,village,Q4364866,"[37.5948149, 49.9071364]",kharkiv oblast,sever group of forces,0
khalymonivka,khalymonivka;khalymonovka;халимоновка;халимонівка,village,Q4495071,"[35.5909876, 49.9092521]",kharkiv oblast,sever group of forces,0
pokrovka,pokrovka;покровка,village,Q4369176,"[35.289459, 49.910198]",kharkiv oblast,sever group of forces,0
stetskivka,stetskivka;stetskovka;стецковка;стецьківка,village,Q4442519,"[37.53067, 49.909168]",kharkiv oblast,sever group of forces,0
baranove,baranove;баранове;бараново,village,Q4077830,"[35.6138151, 49.9195051]",kharkiv oblast,sever group of forces,0
ohultsi,ohultsi;огульцы;огульці,village,Q4331286,"[35.8202929, 49.9041903]",kharkiv oblast,sever group of forces,0
solontsi,solontsi;солонцы;солонці,village,Q4428440,"[38.146252, 49.907108]",luhansk oblast,zapad group of forces,0
nesterivka,nesterivka;nesterovka;нестеровка;нестерівка,village,Q4317812,"[37.3138427, 49.9222172]",kharkiv oblast,sever group of forces,0
leliuky,leliuky;лелюки,village,Q4257754,"[36.3699241, 49.9070385]",kharkiv oblast,sever group of forces,0
