osm_type,osm_id,place,name,name:uk,wikidata,lat,lon
node,256613739,village,Piatykhatky,П’ятихатки,Q4385885,48.2553016,38.0168837
node,256613740,city,Horlivka,Горлівка,Q157260,48.3058686,38.0027664
node,256613742,hamlet,Fedorivka,Федорівка,Q4494080,48.262396,38.0432807
node,256613745,town,Zaitseve,Зайцеве,Q4184477,48.40087,38.02643
node,256613746,village,Hladosove,Гладосове,Q4139335,48.42945,38.07655
node,256613748,hamlet,Riasne,Рясне,Q7212118,48.1705,38.01913
node,256613750,village,Mykhailivka,Михайлівка,Q4297502,48.2442929,37.975037
node,256613752,village,Ozerianivka,Озерянівка,Q4332176,48.2725613,38.0006983
node,256613753,village,Shyroka Balka,Широка Балка,Q4524325,48.3021074,37.9335517
node,256613754,hamlet,Stavky,Ставки,Q4438939,48.25212,37.93613
node,256613755,town,Myronivskyi,Миронівський,Q4296148,48.4620526,38.2754689
node,256613761,town,Debaltseve,Дебальцеве,Q2371760,48.3396839,38.3999096
node,256613774,town,Toretsk,Торецьк,Q2416525,48.3970469,37.8501378
node,256613798,town,Svitlodarsk,Світлодарськ,Q2493295,48.43803,38.22349
node,256613799,village,Dyliivka,Диліївка,Q4171560,48.4258909,37.8764262
node,256613800,village,Druzhba,Дружба,Q4168697,48.4071824,37.9170738
node,256613801,town,Pivnichne,Північне,Q4221569,48.3866143,37.9018986
node,256613802,village,Dachne,Дачне,Q4146171,48.4140395,37.8798218
node,256613803,town,Kurdiumivka,Курдюмівка,Q4248211,48.4683008,37.9568757
node,256613804,town,Pivdenne,Південне,Q4258428,48.3646625,37.9062824
node,256613805,village,Ozarianivka,Озарянівка,Q4359431,48.450343,37.9548643
node,256613806,village,Shumy,Шуми,Q4527849,48.38096,37.9333
node,256613808,village,Valentynivka,Валентинівка,Q4102815,48.3137965,37.7592083
node,256613809,village,Leonidivka,Леонідівка,Q4258806,48.3709755,37.7987389
node,256613810,town,Nelipivka,Неліпівка,Q4316732,48.3515143,37.8360936
node,256613811,town,Niu-York,Нью-Йорк,Q4322522,48.3320198,37.8365875
node,256613812,town,Novospaske,Новоспаське,Q4360989,48.3874267,37.7827946
node,256613813,town,Shcherbynivka,Щербинівка,Q4528953,48.3943714,37.7901336
node,256613814,village,Sukha Balka,Суха Балка,Q4446972,48.3267383,37.7646836
node,256613815,hamlet,Yurivka,Юр’ївка,Q4535268,48.3147822,37.8319631
node,256613816,village,Svitle,Світле,Q4410404,48.308507,37.2343542
node,256613817,town,Myrnohrad,Мирноград,Q45872,48.30791,37.2591
node,256613818,village,Krymske,Кримське,Q4242969,48.4096137,37.8664382
node,256613819,town,Zalizne,Залізне,Q1937296,48.3734757,37.8822759
node,256613820,town,Bilytske,Білицьке,Q2354480,48.4078477,37.176481
node,256613821,town,Novodonetske,Новодонецьке,Q4323663,48.6342604,36.9819183
node,256613822,town,Vodianske,Водянське,Q4114261,48.4107019,37.1048855
node,256613826,village,Yasne,Ясне,Q4539402,47.7726077,37.6346113
node,256613827,town,Dokuchaievsk,Докучаєвськ,Q2416554,47.7499257,37.6715943
node,256613829,village,Bokove,Бокове,Q4090588,48.5215494,37.0296629
node,256613830,town,Bilozerske,Білозерське,Q2351983,48.53313,37.05791
node,256613831,town,Novomykolaivka,Новомиколаївка,Q4324648,48.56335,37.37411
node,256613832,town,Novohryhorivka,Новогригорівка,Q4323496,48.5760732,37.4194003
node,256613833,town,Oleksiievo-Druzhkivka,Олексієво-Дружківка,Q4061852,48.5785754,37.6044657
node,256613834,town,Druzhkivka,Дружківка,Q157795,48.6198614,37.524945
node,256613836,town,Oleksandrivske,Олександрівське,Q2687231,48.27015,38.28564
node,256613837,town,Bulavynske,Булавинське,Q4098688,48.25298,38.3361
node,256613839,village,Druzhne,Дружне,Q4168866,48.19805,38.28186
node,256613840,town,Raiske,Райське,Q4389195,48.56987,37.46647
node,256613841,village,Krasnyi Kut,Красний Кут,Q4239499,48.55751,37.40604
node,256613842,village,Staroraiske,Старорайське,Q4440565,48.60927,37.44527
node,256613843,village,Druzhkivske,Дружківське,Q4512337,48.630669,37.588905
node,256613845,village,Verkhnia Krynka,Верхня Кринка,Q4108867,48.1826143,38.1311003
node,256613846,hamlet,,Кринички,Q4361335,48.16466,38.04651
node,256613847,hamlet,Puteprovid,Путепровід,Q4384234,48.15076,38.052
node,256613848,village,Shevchenko,Шевченко,Q4522124,48.17479,38.09046
node,256613849,town,,Софіївка,Q4215261,48.270333,38.144668
node,256613850,village,Novoselivka,Новоселівка,Q4325818,48.26457,38.11621
node,256613851,village,Staropetrivske,Старопетрівське,Q4440555,48.2131617,38.15276
node,256613852,town,Korsun,Корсунь,Q4234364,48.2044,38.0823
node,256613853,village,Illinka,Іллінка,Q4199624,48.2699914,38.4262531
node,256613854,village,Danylove,Данилове,Q4154756,48.2218427,38.4700614
node,256613855,village,Ridkodub,Рідкодуб,Q4392191,48.2686752,38.5235961
node,256613858,village,Kamianka,Кам’янка,Q4210932,48.2413338,38.4844814
node,256613859,village,Olenivka,Оленівка,Q4333615,48.2650449,38.2586109
node,256613860,village,Shchebenka,Щебенка,Q4528443,48.1929318,38.1374293
node,256613861,hamlet,Vesela Dolyna,Весела Долина,Q4109718,48.21127,38.43103
node,256613862,town,Olkhovatka,Ольховатка,Q4334213,48.2402552,38.4030646
node,256613868,hamlet,,Ступакове,Q4239577,48.284545,38.3075313
node,256613869,village,Kaiutyne,Каютине,Q4218370,48.3001,38.23465
node,256613870,town,,Бунге,Q570563,48.2213624,38.2875306
node,256613871,village,Savelivka,Савелівка,Q4403777,48.2938415,38.3432269
node,256613872,town,Vuhlehirsk,Вуглегірськ,Q1025478,48.3119524,38.2609048
node,256613873,village,Pryberezhne,Прибережне,Q4377700,48.2465195,38.3237055
node,256613874,hamlet,Hrozne,Грозне,Q4150095,48.2935602,38.3119509
node,256613875,hamlet,Bulavyne,Булавине,Q4098686,48.3026205,38.3580446
node,256613876,town,Staryi Krym,Старий Крим,Q4441079,47.1606073,37.4909237
node,256613877,town,Talakivka,Талаківка,Q4450302,47.1929562,37.7253016
node,256613884,village,Molodyi Shakhtar,Молодий Шахтар,Q4300678,48.10312,38.24744
node,256613885,town,Sartana,Сартана,Q782264,47.1701321,37.6952892
node,256613886,town,Zhdanivka,Жданівка,Q2354450,48.1570316,38.2565049
node,256613887,village,Vilkhivka,Вільхівка,Q4334269,48.11179,38.30624
node,256613888,hamlet,Avilovka,Авіловка,Q4055914,48.1983104,38.1736103
node,256613889,hamlet,Shaposhnykove,Шапошникове,Q4520342,48.1918329,38.1585856
node,256613893,town,Bilenke,Біленьке,Q4081840,48.7592059,37.6177633
node,256613896,town,Oleksandrivka,Олександрівка,Q4061255,48.7441375,37.4852491
node,256613898,town,Kostiantynivka,Костянтинівка,Q165243,48.534905,37.6923754
node,256613901,village,Hnutove,Гнутове,Q4140812,47.2069911,37.7501111
node,256613902,village,Lomakyne,Ломакине,Q4266097,47.1761023,37.7231459
node,256613903,town,Yasnohirka,Ясногірка,Q4539379,48.7786606,37.5536569
node,256613904,town,Yasna Poliana,Ясна Поляна,Q4539332,48.743929,37.5275786
node,256613905,town,Shabelkivka,Шабельківка,Q4519105,48.7506398,37.4907836
node,256613906,town,Sofiivka,Софіївка,Q4429956,48.7411144,37.513553
node,256613907,town,Malotaranivka,Малотаранівка,Q4278446,48.6675587,37.513494
node,256613908,village,Pryvillia,Привілля,Q4377916,48.71097,37.38304
node,256613909,town,Krasnotorka,Красноторка,Q4239123,48.6799109,37.5210322
node,256613910,town,Komyshuvakha,Комишуваха,Q4211884,48.64025,37.45582
node,256613911,village,Stavky,Ставки,Q4438946,49.04846,37.83485
node,256613912,village,Brusivka,Брусівка,Q4097267,48.9105244,37.7830943
node,256613913,town,Lyman,Лиман,Q2234641,48.9801314,37.8168012
node,256613914,town,Rodynske,Родинське,Q2416543,48.3539878,37.203369
node,256613915,town,Shevchenko,Шевченко,Q4522130,48.22191,37.14211
node,256613916,town,Pokrovsk,Покровськ,Q1000446,48.2771086,37.1772482
node,256613917,village,Semenivka,Семенівка,Q4415907,48.6679492,37.6490267
node,256613918,hamlet,Ashurkove,Ашуркове,Q4073585,48.6573719,37.634943
node,256613919,village,Lisne,Лісне,Q4259626,48.098031,38.1326344
node,256613920,village,Orikhove,Оріхове,Q4336313,48.10178,38.107712
node,256613921,town,Krynychna,Кринична,Q4241112,48.1284978,38.0275521
node,256613922,village,Lypske,Липське,Q4239549,48.08201,38.14831
node,256613923,hamlet,Lebiazhe,Леб’яже,Q4256097,48.1864195,37.949912
node,256613924,hamlet,Vasylivka,Василівка,Q4104244,48.1832284,37.9662387
node,256613925,village,Vuhliar,Вугляр,Q4128221,48.01609,38.05956
node,256613926,village,Maiak,Маяк,Q4286328,47.9713858,38.016858
node,256613927,village,Shchurove,Щурове,Q4529246,48.9551375,37.7248258
node,256613928,village,Staryi Karavan,Старий Караван,Q4441057,48.9218552,37.7819721
node,256613929,village,Zemlianky,Землянки,Q4191177,48.1230291,37.9067261
node,256613930,city,Makiivka,Макіївка,Q157134,48.0448144,37.9635093
node,256613931,village,Velyke Orikhove,Велике Оріхове,Q4106690,48.0863,38.133461
node,256613932,village,Yasynivka,Ясинівка,Q4539260,48.1341546,37.9476637
node,256613933,village,Lypove,Липове,Q4262824,48.0863716,38.1703236
node,256613934,town,Nyzhnia Krynka,Нижня Кринка,Q4319319,48.1137043,38.1665891
node,256613935,hamlet,Molocharka,Молочарка,Q4301022,48.00648,38.13243
node,256613948,village,Shevchenko,Шевченко,Q4522135,47.99188,38.08617
node,256613952,town,,Холодне,Q4410134,48.02759,38.06265
node,256613953,hamlet,Monakhove,Монахове,Q4301595,48.1501596,38.1145996
node,256613954,village,Verkhnia Krynka,Верхня Кринка,Q4108869,48.15505,38.15749
node,256613955,locality,Almazne,Алмазне,Q4062717,48.1431116,38.134425
node,256613956,village,Krasna Zoria,Красна Зоря,Q4237969,48.1407074,38.1169551
node,256613958,village,Vysoke,Високе,Q4129405,47.9448989,38.0570965
node,256613959,village,Hruzko-Zorianske,Грузько-Зорянське,Q4150591,47.94845,38.08273
node,256613960,village,Kholmyste,Холмисте,Q4499178,47.94056,38.10951
node,256613962,town,Hruzko-Lomivka,Грузько-Ломівка,Q4150593,47.90923,38.10548
node,256613964,village,Huselske,Гусельське,Q4152796,47.99506,38.11835
node,256613965,town,Kolosnykove,Колосникове,Q4228518,48.0456386,38.0611459
node,256613966,village,Mezhove,Межове,Q4288677,47.9661277,38.0707601
node,256613969,town,,П’ятипілля,Q4380543,48.0164708,38.0979234
node,256613977,town,Ukrainsk,Українськ,Q2496842,48.09471,37.35866
node,256613978,town,Hirnyk,Гірник,Q2621513,48.0567943,37.3723976
node,256613980,town,Tsukuryne,Цукурине,Q4506151,48.08433,37.3161
node,256613982,town,Hostre,Гостре,Q4119309,47.9935659,37.401683
node,256613983,town,Snizhne,Сніжне,Q1749424,48.0220754,38.7634612
node,256613985,town,Mykolaivka,Миколаївка,Q2415962,48.8610868,37.7619191
node,256613986,city,Sloviansk,Слов’янськ,Q33581,48.8522691,37.6058241
node,256613987,town,Novohrodivka,Новогродівка,Q376473,48.1997174,37.3399704
node,256613988,village,Novoselivka,Новоселівка,Q4325845,48.1659044,38.1362849
node,256613989,village,Novomarivka,Новомар’ївка,Q4324470,48.1509362,38.1464506
node,256613990,village,Novyi Svit,Новий Світ,Q4326777,48.14793,38.10367
node,256613991,town,Kurakhivka,Курахівка,Q4247821,48.02982,37.37171
node,256613992,town,Komyshivka,Комишівка,Q4211892,48.18062,37.46895
node,256613993,town,Vyshneve,Вишневе,Q4112863,48.1503178,37.2463197
node,256613994,town,Selydove,Селидове,Q951436,48.15015,37.3018921
node,256613995,town,Sieverne,Сєверне,Q4412161,48.0829812,38.6855636
node,256613996,village,Molchalyne,Молчалине,Q4301092,48.0600084,38.7116395
node,256613997,town,Pervomaiske,Первомайське,Q4349516,47.99446,38.77693
node,256613998,town,Pobieda,Побєда,Q4366173,47.97858,38.80843
node,256613999,town,Pelahiivka,Пелагіївка,Q4348165,48.09282,38.60887
node,256614000,town,Rozsypne,Розсипне,Q4390544,48.1303138,38.5664541
node,256614001,village,Sukhivske,Сухівське,Q4447172,48.0645252,38.7152186
node,256614002,town,Chystiakove,Чистякове,Q162084,48.0261217,38.618137
node,256614003,town,Hirnytske,Гірницьке,Q4144745,48.00433,38.83349
